,Unnamed: 0,id,name,steam appid,required age,is free,release date,review_amount,review_score,total_positive_reviews,total_negative_reviews,price,currency,discount_percent,platforms.windows,platforms.mac,platforms.linux,revenue,number_reviews
2731,2731,454830,Beach Ball Valley,454830,0,0,"9 Oct, 2020",5,0,5,0,2.99,EUR,0.0,1,0,0,14.950000000000001,5
2732,2732,454870,Magic Quest,454870,0,0,"6 May, 2016",7,0,5,2,1.99,EUR,0.0,1,0,0,11.95,7
2733,2733,454890,Project Starship,454890,0,0,"5 Apr, 2016",20,6,94,24,2.39,EUR,0.0,1,0,0,248.66000000000003,118
2734,2734,454900,Amaranthine,454900,0,0,"6 Apr, 2016",1,7,34,4,2.49,EUR,0.0,1,0,1,88.66000000000001,38
2735,2735,454950,Mainlining,454950,0,0,"26 Jan, 2017",1,6,147,37,10.79,EUR,0.0,1,0,0,1623.1299999999999,184
2736,2736,454970,Gravity Den,454970,0,0,"15 Apr, 2016",4,0,3,1,4.99,EUR,0.0,1,1,1,15.97,4
2737,2737,455000,The Lost,455000,10,0,"17 Aug, 2016",1,0,0,1,,,,1,0,0,,1
2738,2738,455080,Awakening: The Redleaf Forest Collector's Edition,455080,0,0,"28 Mar, 2016",9,0,8,1,9.99,EUR,0.0,1,0,0,80.92,9
2739,2739,455100,Gerty,455100,0,0,"19 Dec, 2019",18,7,16,2,13.49,EUR,0.0,1,1,1,217.84,18
2740,2740,455110,Pertinence,455110,0,0,"25 Mar, 2016",11,5,6,5,3.99,EUR,0.0,1,0,0,28.94,11
2741,2741,454170,XorceD - Sashiro's Laedrum,454170,0,0,"14 Apr, 2016",5,0,5,0,12.99,EUR,0.0,1,1,1,64.95,5
2742,2742,454180,CrazyCars3D,454180,0,0,"14 Jun, 2016",20,5,44,21,2.99,EUR,0.0,1,1,1,152.56,65
2743,2743,454190,Cubicolor,454190,0,0,"18 Mar, 2016",20,8,61,6,1.99,EUR,0.0,1,1,1,127.39,67
2744,2744,454200,Neon Hardcorps,454200,0,0,"30 May, 2016",20,4,8,15,0.79,EUR,0.0,1,0,0,21.32,23
2745,2745,454220,The Temporal Invasion,454220,0,0,"4 Jul, 2016",20,6,43,18,6.99,EUR,0.0,1,1,1,318.57,61
2746,2746,454230,SLG Remix,454230,0,0,"1 Jun, 2016",13,4,4,9,1.99,EUR,0.0,1,0,0,16.96,13
2747,2747,454240,A Tofu Tail,454240,0,0,"12 Dec, 2019",3,0,3,0,12.49,EUR,0.0,1,1,1,37.47,3
2748,2748,454250,The Eyes of Ara,454250,0,0,"19 Jul, 2016",1,8,232,45,12.49,EUR,0.0,1,1,0,2942.68,277
2749,2749,454260,The HinterLands,454260,0,0,"27 May, 2016",4,0,2,2,2.99,EUR,0.0,1,0,0,7.98,4
2750,2750,454320,[the Sequence],454320,0,0,"30 Mar, 2016",1,8,77,9,3.99,EUR,0.0,1,0,0,316.23,86
2751,2751,454330,A Room Beyond,454330,0,0,"13 Jun, 2017",8,0,6,2,7.99,EUR,0.0,1,1,0,49.94,8
2752,2752,454350,Days of War: Definitive Edition,454350,0,0,"4 Feb, 2020",1,5,337,380,20.99,EUR,0.0,1,0,0,7453.629999999999,717
2753,2753,454370,Battlecursed,454370,0,0,"7 Feb, 2018",6,0,3,3,,,,1,0,0,,6
2754,2754,454390,Rally Copters,454390,0,0,"10 Aug, 2016",3,0,3,0,6.99,EUR,0.0,1,0,0,20.97,3
2755,2755,454410,GIGA WRECKER,454410,0,0,"6 Feb, 2017",20,6,99,25,19.99,EUR,0.0,1,0,0,2004.0099999999998,124
2756,2756,454420,Mini Metal,454420,0,0,"22 Apr, 2016",1,0,1,0,9.99,EUR,0.0,1,1,1,9.99,1
2757,2757,454430,Crystal Chip Collector,454430,0,0,"21 Mar, 2016",1,0,0,1,4.99,EUR,0.0,1,0,0,1.0,1
2758,2758,454480,Break Through: Artificial Maze,454480,0,0,"12 Jul, 2016",1,0,0,1,0.99,EUR,0.0,1,0,0,1.0,1
2759,2759,454520,MilitAnt,454520,0,0,"12 Jul, 2016",5,0,2,3,9.99,EUR,0.0,1,0,0,22.98,5
2760,2760,454530,Decisive Campaigns: Barbarossa,454530,0,0,"29 Apr, 2016",2,8,78,9,45.99,EUR,0.0,1,0,0,3596.2200000000003,87
2761,2761,454540,LuckCatchers,454540,0,1,"15 Nov, 2016",5,0,0,5,,,,1,0,0,,5
2762,2762,454550,Qubicle Voxel Editor,454550,0,0,"21 Apr, 2016",1,5,42,22,12.49,EUR,0.0,1,1,0,546.58,64
2763,2763,454560,Ultimate Fight Manager 2016,454560,0,0,"28 Apr, 2016",18,4,7,11,,,,1,1,1,,18
2764,2764,454570,I Am Caligula,454570,0,0,"25 Mar, 2016",20,5,14,9,0.99,EUR,0.0,1,0,0,22.86,23
2765,2765,454580,Spider Wars,454580,0,0,"18 Nov, 2016",15,5,10,5,8.19,EUR,0.0,1,0,0,86.89999999999999,15
2766,2766,454600,Age of Cavemen,454600,0,1,"24 May, 2016",4,0,1,3,,,,1,0,0,,4
2767,2767,454610,Demon's Crystals,454610,0,0,"21 Apr, 2016",1,5,14,9,4.99,EUR,0.0,1,1,1,78.86,23
